Company,NSE Symbol,Sector,Industry,Market Cap (Cr),P/E,P/B,EPS Growth 1Y (%),EPS Growth 3Y (%),Profit Growth 1Y (%),Profit Growth 3Y (%),Revenue Growth (%),ROCE (%),ROE (%),ROA (%),OCF_PAT,Net_Debt_EBITDA,Debt/Equity,Current Ratio,Interest Coverage,CMP,50 DMA,200 DMA,1Y Return (%),3Y CAGR (%),5Y CAGR (%),FII Holding Change (%),DII Holding Change (%),Avg Daily Turnover (Cr)
Gabriel India Ltd.,GABRIEL,Automobile and Auto Components,Auto Parts,23872.88,76.44721,14.158083,40.6,23.97,2.93,23.96,29.799999999999997,22.79,,10.38,1.37,0.08,0.11,1.66,24.71,1347.0,1349.14,1084.76,12.96,84.57,,,,52.74
Gallantt Ispat Ltd.,GALLANTT,Capital Goods,Steel,14023.25,29.001995,4.2293086,,50.89,20.84,50.89,,17.99,,11.34,1.24,0.57,0.17,2.95,15.49,581.2,637.76,627.99,-8.38,88.0,,,,72.61
Garden Reach Shipbuilders & Engineers Ltd.,GRSE,Capital Goods,Aerospace & Defense,29577.33,36.97022,11.262027,43.9,48.55,41.81,48.55,38.5,36.76,,7.03,-0.39,0.02,1.42,1.23,63.34,2582.0,2650.77,2574.17,1.85,64.11,,,,346.32
Gillette India Ltd.,GILLETTE,Fast Moving Consumer Goods,Household & Personal Products,24144.02,45.32636,25.51015,9.4,19.28,15.75,19.27,10.8,53.27,,22.49,1.24,-0.72,0.0,1.56,66.15,7409.5,,,-26.32,12.57,,,,22.37
Gland Pharma Ltd.,GLAND,Healthcare,Drug Manufacturers - Specialty & Generic,46240.15,40.913734,4.458527,46.9,9.5,47.07,9.56,19.6,13.7,,8.21,1.0,-1.6,2.74,4.68,50.55,2803.0,2510.54,1987.63,45.31,29.4,,,,77.85
Go Digit General Insurance Ltd.,GODIGIT,Financial Services,Insurance - Property & Casualty,23999.99,48.88889,5.12173,-37.6,147.51,28.1,148.28,8.6,,,2.18,,0.08,0.07,,9.25,259.6,284.62,317.66,-28.52,,,,,17.74
Godawari Power & Ispat Ltd.,GPIL,Capital Goods,Steel,15911.01,19.471336,2.5862944,-3.9,0.94,-1.35,0.31,32.300000000000004,18.0,,10.97,1.45,0.1,0.08,3.04,19.79,244.56,249.66,262.07,2.92,-23.79,,,,74.93
Granules India Ltd.,GRANULES,Healthcare,Drug Manufacturers - Specialty & Generic,21029.29,31.595308,4.1355605,53.400000000000006,5.21,18.64,4.82,22.0,15.22,,7.71,1.33,0.55,0.3,1.8,11.99,848.65,839.73,679.46,84.07,39.02,,,,76.66
Graphite India Ltd.,GRAPHITE,Capital Goods,Electrical Equipment & Parts,13876.55,64.1599,2.3684,28.4,-4.16,-62.06,-4.19,26.6,4.45,,2.31,0.47,0.95,0.06,3.22,10.91,710.25,657.64,642.9,33.68,17.21,,,,91.1
Gravita India Ltd.,GRAVITA,Metals & Mining,Metal Fabrication,13098.26,33.46297,5.3403378,14.000000000000002,20.51,21.26,23.49,41.8,18.12,,11.09,0.45,1.28,0.3,2.91,19.09,1798.3,1743.9,1672.41,3.71,38.22,,,,44.94
Great Eastern Shipping Co. Ltd.,GESHIP,Services,Marine Shipping,19259.29,5.067618,1.1354042,159.4,4.55,25.52,4.55,66.9,17.43,,15.12,0.97,-0.8,0.06,7.13,25.05,1349.0,1379.02,1307.27,43.79,24.82,,,,96.89
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,Metals & Mining,Thermal Coal,18014.7,18.79562,2.548507,-0.2,-7.4,40.72,-7.39,23.799999999999997,15.54,,10.65,0.78,0.16,4.47,4.15,178.55,566.5,583.92,590.59,35.07,54.27,,,,283.72
H.E.G. Ltd.,HEG,Capital Goods,Electrical Equipment & Parts,13951.31,38.029984,2.9322298,16.8,-13.77,196.7,-13.77,10.4,8.83,,5.54,0.62,1.18,0.17,2.21,17.53,722.95,610.99,569.07,49.38,28.63,,,,118.73
HBL Engineering Ltd.,HBLENGINE,Capital Goods,Electrical Equipment & Parts,19281.68,25.10285,8.632307,-23.5,102.26,194.27,102.11,6.0,45.9,,27.7,0.91,-0.4,3.02,3.57,74.21,695.6,745.4,780.72,-12.79,44.25,,,,159.3
HFCL Ltd.,HFCL,Telecommunication,Communication Equipment,36251.95,59.0773,7.145658,,-0.77,75.72,1.18,119.9,12.18,,3.52,-1.21,2.25,0.38,1.99,2.77,236.9,212.38,122.05,222.25,48.22,,,,356.24
Himadri Speciality Chemical Ltd.,HSCL,Chemicals,Specialty Chemicals,33069.79,41.220127,7.025706,24.7,43.05,35.22,51.51,28.000000000000004,20.98,,11.91,0.51,0.53,0.16,2.28,16.99,655.4,716.31,555.77,39.8,62.65,,,,323.71
Hindustan Copper Ltd.,HINDCOPPER,Metals & Mining,Copper,51561.72,45.301613,15.441646,161.9,45.87,97.48,45.94,81.39999999999999,34.64,,20.8,1.6,-0.2,3.32,1.68,252.06,533.2,509.91,506.1,125.57,53.86,,,,787.7
Home First Finance Company India Ltd.,HOMEFIRST,Financial Services,Mortgage Finance,12404.94,21.48108,2.8411255,32.300000000000004,26.97,41.44,33.26,29.7,4.98,,3.56,-3.59,13.25,2.44,73.66,19.37,1186.4,1191.53,1124.65,-6.84,12.94,,,,36.73
Honasa Consumer Ltd.,HONASA,Fast Moving Consumer Goods,Household & Personal Products,15942.58,63.096775,11.251207,119.0,65.88,175.08,,27.0,17.74,,9.56,0.71,0.05,0.1,1.69,20.58,489.0,458.32,348.84,62.97,,,,,54.96
IDBI Bank Ltd.,IDBI,Financial Services,Banks - Regional,93728.69,9.403451,1.3267884,,35.42,20.7,35.44,,,13.874,2.2,1.82,,0.34,,,87.17,84.44,88.99,-8.24,11.53,,,,143.24
IFCI Ltd.,IFCI,Financial Services,Credit Services,22583.74,123.2647,2.4777558,,,5.75,,,,,0.68,1.55,,0.39,,,83.82,76.66,62.71,55.11,79.68,,,,204.79
IIFL Finance Ltd.,IIFL,Financial Services,Credit Services,28505.03,13.33035,2.0477843,189.5,0.61,338.47,3.45,31.8,,,1.86,-8.42,,4.47,,,670.25,574.51,531.07,49.68,4.94,,,,113.88
IRB Infrastructure Developers Ltd.,IRB,Construction,Infrastructure Operations,22694.56,24.089746,1.0629032,47.099999999999994,5.57,-86.88,5.7,-8.9,5.97,,1.57,2.47,4.75,0.96,1.24,1.71,18.79,20.13,20.78,-13.33,14.07,,,,37.27
IRCON International Ltd.,IRCON,Construction,Engineering & Construction,11552.35,18.92604,1.7377588,-43.4,7.05,-18.14,-8.02,9.5,7.89,,2.79,-1.04,0.72,0.86,1.65,3.19,122.83,130.0,144.47,-27.26,8.12,,,,56.68
ITI Ltd.,ITI,Telecommunication,Communication Equipment,26709.51,82.071,14.006563,,,,,-14.7,23.49,,3.13,-0.46,1.36,0.4,0.94,2.49,277.4,288.43,291.23,-6.79,36.03,,,,79.3
Indegene Ltd.,INDGN,Healthcare,Health Information Services,13499.69,33.689903,4.3027096,-0.2,14.33,-1.38,14.65,39.7,15.31,,8.68,1.62,-0.23,0.05,2.41,33.81,560.6,525.65,504.44,-1.71,,,,,17.14
India Cements Ltd.,INDIACEM,Construction Materials,Building Materials,16943.61,121.5,1.1157093,,,,,-0.5,0.29,,-0.5,0.4,3.87,0.13,1.01,0.35,364.5,386.04,404.21,-6.77,17.49,,,,26.58
Indiamart Intermesh Ltd.,INDIAMART,Consumer Services,Internet Content & Information,105508.34,21.378262,4.752771,11.899999999999999,19.36,-13.8,18.7,11.4,19.97,23.146,7.25,1.46,-0.08,0.97,2.0,218.36,1754.3,1858.45,2039.25,-32.41,-16.34,,,,23.34
Indian Energy Exchange Ltd.,IEX,Financial Services,Capital Markets,10916.16,21.649029,8.050764,11.799999999999999,17.44,14.85,17.23,10.100000000000001,45.71,,20.24,0.88,-0.04,0.82,2.0,283.74,122.75,124.67,127.08,-12.32,0.91,,,,109.51
Indian Overseas Bank,IOB,Financial Services,Banks - Regional,63700.8,11.026668,1.6379483,45.9,32.9,59.58,37.06,48.1,,16.525999,1.33,0.88,,1.4,,,33.08,34.12,34.89,-13.11,8.57,,,,25.15
Indraprastha Gas Ltd.,IGL,Oil Gas & Consumable Fuels,Utilities - Regulated Gas,20805.42,16.312843,1.8070502,-43.8,4.57,-9.79,-1.86,17.2,16.39,,9.1,1.25,-0.03,0.85,1.16,129.57,148.61,155.5,168.03,-26.39,-11.67,,,,50.75
Inox Wind Ltd.,INOXWIND,Capital Goods,Specialty Industrial Machinery,12621.32,30.053497,1.7117475,-38.3,,-9.41,,-1.5,10.38,,3.36,-1.48,1.37,0.21,2.01,4.3,73.03,80.87,99.47,-49.3,11.52,,,,111.63
Intellect Design Arena Ltd.,INTELLECT,Information Technology,Software - Application,9499.83,27.627632,2.984013,8.1,8.13,3.8,8.93,20.4,13.68,,7.54,1.48,-0.39,4.96,2.11,73.89,681.85,730.23,795.17,-28.88,-0.23,,,,44.22
International Gemological Institute Ltd.,IGIL,Services,Other Precious Metals & Mining,14704.23,28.71308,9.881796,32.0,22.48,0.0,20.9,23.200000000000003,38.4,,24.35,1.17,0.07,0.1,5.16,71.82,340.25,347.04,334.83,-1.52,,,,,24.14
Inventurus Knowledge Solutions Ltd.,IKS,Information Technology,Health Information Services,29990.0,40.029106,10.6817,27.900000000000002,33.42,48.45,33.2,20.7,29.57,,16.91,0.93,0.33,0.27,1.35,13.88,1787.7,1798.2,1638.2,13.05,,,,,41.17
JBM Auto Ltd.,JBMA,Automobile and Auto Components,Auto Parts,15508.11,70.28403,13.582791,14.099999999999998,20.7,8.36,20.71,15.0,22.49,,2.97,-0.27,3.81,1.9,1.1,1.97,655.75,671.0,618.01,2.86,-0.83,,,,117.05
JK Tyre & Industries Ltd.,JKTYRE,Automobile and Auto Components,Auto Parts,10992.48,16.549479,1.8136933,-74.3,36.79,52.34,43.52,2.0,13.88,,4.85,1.86,2.4,0.81,1.34,3.46,381.3,395.38,435.64,16.9,11.49,,,,57.84
JM Financial Ltd.,JMFINANCIL,Financial Services,Capital Markets,12430.91,11.841385,1.1656915,-35.699999999999996,26.15,46.35,26.24,-10.299999999999999,,,4.53,0.48,,1.02,,,129.9,126.03,130.81,-31.0,23.1,,,,54.0
JSW Cement Ltd.,JSWCEMENT,Construction Materials,Building Materials,16960.33,22.309057,2.5717678,,,,,19.900000000000002,-4.1,,-5.2,-1.55,-36.29,0.68,0.72,-1.24,125.6,133.0,124.11,-18.13,,,,,44.36
JSW Dulux Ltd.,JSWDULUX,Consumer Durables,N/A,14105.2,7.185978,5.75347,,80.58,359.56,80.57,,89.59,,52.01,0.05,-0.08,0.03,1.57,228.45,3097.3,3075.32,3040.69,-7.44,7.1,,,,32.35
Jain Resource Recycling Ltd.,JAINREC,Metals & Mining,Other Industrial Metals & Mining,10002.31,27.292845,6.5502825,14.099999999999998,,58.8,56.52,75.9,35.48,,10.41,-1.68,2.06,0.82,1.8,5.97,289.65,333.49,393.49,,,,,,105.22
Jaiprakash Power Ventures Ltd.,JPPOWER,Power,Utilities - Independent Power Producers,11630.32,24.242857,1.3028791,67.7,113.96,-44.61,101.06,12.2,6.74,,2.51,2.89,1.67,0.27,2.7,3.08,16.97,17.53,17.32,-10.07,33.39,,,,137.61
Jammu & Kashmir Bank Ltd.,J&KBANK,Financial Services,Banks - Regional,16445.06,7.281326,0.9969359,,20.47,13.34,25.96,,,14.609,1.25,-0.48,,0.21,,,149.34,163.46,128.71,45.24,32.54,,,,55.26
Jindal Saw Ltd.,JINDALSAW,Capital Goods,Steel,18031.92,28.055555,1.4331396,-75.4,14.54,-44.01,14.76,9.0,9.68,,4.49,1.82,2.0,0.38,1.61,3.53,282.8,264.74,210.64,40.49,21.61,,,,82.69
Jubilant Ingrevia Ltd.,JUBLINGREA,Chemicals,Specialty Chemicals,11184.47,36.422703,3.5846434,40.6,-3.24,10.64,-3.32,25.3,10.75,,5.07,1.89,1.02,0.25,1.29,8.62,709.15,703.65,670.48,0.14,19.62,,,,22.84
Jubilant Pharmova Ltd.,JUBLPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,14524.1,40.307693,2.0477252,-45.0,,-52.53,,17.299999999999997,6.28,,2.57,3.08,1.87,0.51,1.62,4.05,917.0,950.49,966.24,-13.6,35.89,,,,16.15
Jupiter Wagons Ltd.,JWL,Capital Goods,Railroads,10577.42,63.461536,3.575298,-14.299999999999999,8.81,-55.24,12.3,46.0,9.37,,3.63,0.06,2.04,0.33,2.0,4.53,247.5,258.38,280.91,-27.4,3.95,,,,114.71
Jyoti CNC Automation Ltd.,JYOTICNC,Capital Goods,Specialty Industrial Machinery,22603.58,70.89159,11.301253,-20.1,,6.33,,24.0,22.04,,9.29,0.16,1.36,0.43,2.26,7.69,993.9,812.29,820.66,4.12,,,,,75.59
Kajaria Ceramics Ltd.,KAJARIACER,Consumer Durables,Building Products & Equipment,19114.88,35.44289,6.31906,55.400000000000006,12.08,64.91,12.11,20.4,20.95,,12.05,1.37,0.2,0.07,2.97,32.6,1216.4,1209.25,1077.1,-3.77,-4.85,,,,29.7
Kalpataru Projects International Ltd.,KPIL,Construction,Engineering & Construction,23751.05,20.892294,3.054186,45.2,27.96,77.57,33.12,3.8,19.94,,3.75,1.48,0.87,0.46,1.25,4.06,1390.8,1344.7,1218.73,9.68,31.14,,,,25.1
Karur Vysya Bank Ltd.,KARURVYSYA,Financial Services,Banks - Regional,33422.52,12.084935,2.3690104,45.0,31.25,29.29,31.41,26.0,,,1.84,-0.22,,0.19,,,345.75,317.65,288.84,61.94,50.86,,,,94.57
Kaynes Technology India Ltd.,KAYNES,Capital Goods,Electronic Components,26553.56,77.92662,5.697246,-0.4,40.54,24.12,56.34,40.5,11.99,,5.28,-1.65,1.11,0.19,2.22,5.41,3950.1,3475.54,3883.39,-36.38,29.8,,,,617.4
Kec International Ltd.,KEC,Construction,Engineering & Construction,11373.4,20.760447,1.8464258,-41.699999999999996,49.18,6.11,50.95,,20.18,,2.41,-0.68,3.03,0.87,1.23,2.21,427.25,480.04,574.77,-47.59,-12.28,,,,67.52
Kfin Technologies Ltd.,KFINTECH,Financial Services,Software - Application,16619.06,49.325294,9.913278,-2.5,19.8,3.33,20.64,30.099999999999998,18.89,,12.39,1.08,-0.02,3.31,3.3,100.72,961.35,907.58,946.78,-13.48,37.1,,,,102.1
Kirloskar Oil Eng Ltd.,KIRLOSENG,Capital Goods,Specialty Industrial Machinery,29754.45,54.685745,8.209437,-19.900000000000002,19.84,17.41,19.99,13.4,17.85,,5.29,1.62,3.26,1.55,1.39,2.56,2044.7,2232.27,1601.07,113.55,66.29,,,,96.02
Krishna Institute of Medical Sciences Ltd.,KIMS,Healthcare,Medical Care Facilities,30900.73,155.07028,13.749666,-46.9,-10.48,-37.22,-10.46,35.3,8.14,,3.11,2.12,5.16,1.66,0.76,2.7,772.25,803.32,709.67,4.81,27.65,,,,32.73
LT Foods Ltd.,LTFOODS,Fast Moving Consumer Goods,Packaged Foods,15362.47,22.366026,8.619413,70.7,12.94,3.31,15.8,23.799999999999997,18.52,,6.9,1.46,1.11,0.28,1.76,7.62,442.4,396.18,395.6,2.77,35.46,,,,52.57
Latent View Analytics Ltd.,LATENTVIEW,Information Technology,Consulting Services,5757.69,29.475637,3.2803605,-5.3,7.8,13.74,8.42,21.5,14.65,,9.46,0.83,-0.4,1.86,4.05,27.68,278.25,294.91,354.27,-33.73,-9.41,,,,47.8
Leela Palaces Hotels & Resorts Ltd.,THELEELA,Consumer Services,Lodging,18527.98,40.974888,2.875863,386.7,,742.9,,28.1,8.26,,4.52,1.93,2.13,0.28,1.02,3.4,554.8,494.04,440.64,27.76,,,,,19.05
Lemon Tree Hotels Ltd.,LEMONTREE,Consumer Services,Lodging,8594.71,36.545456,6.174764,20.8,25.55,15.52,25.61,9.2,13.7,,5.3,2.38,2.87,0.96,1.21,3.0,108.54,113.1,125.33,-35.95,4.45,,,,52.65
MMTC Ltd.,MMTC,Services,Conglomerates,9604.5,21.558922,4.530211,130.0,,347.17,-37.17,-50.0,29.75,,13.86,-1.56,-2.78,0.11,3.4,819.73,64.03,65.74,63.31,-1.6,19.15,,,,43.24
Mahanagar Gas Ltd.,MGL,Oil Gas & Consumable Fuels,Utilities - Regulated Gas,11111.51,15.34652,1.7287537,-39.300000000000004,2.11,-19.14,2.11,13.900000000000002,16.45,,9.37,1.38,0.11,3.46,0.94,55.13,1124.9,1115.88,1091.33,-13.15,4.99,,,,32.27
Manappuram Finance Ltd.,MANAPPURAM,Financial Services,Credit Services,34440.76,21.92883,2.1457455,288.5,-12.51,-17.5,-12.46,80.10000000000001,,,1.35,-20.17,,3.6,,,366.65,342.1,302.81,38.55,41.06,,,,135.94
Mangalore Refinery & Petrochemicals Ltd.,MRPL,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing,30144.7,9.756098,2.1154912,,-10.17,3324.22,-10.17,120.39999999999999,19.03,,4.33,1.32,2.32,1.08,1.14,5.83,172.0,164.17,165.42,40.63,29.65,,,,195.75
Meesho Ltd.,MEESHO,Consumer Services,Internet Retail,96687.5,,22.022543,,,,,48.3,-26.98,,-17.17,2.85,0.48,1.43,1.55,-133.92,209.06,188.98,,,,,,,471.45
Minda Corporation Ltd.,MINDACORP,Automobile and Auto Components,Auto Parts,16463.5,33.743366,6.2390184,215.79999999999998,8.22,41.07,8.19,33.2,14.9,,6.56,1.88,1.88,0.55,0.94,4.31,699.5,696.09,596.88,40.19,33.02,,,,33.95
Motherson Sumi Wiring India Ltd.,MSUMI,Automobile and Auto Components,Auto Parts,24371.36,39.945652,11.273006,,8.63,3.19,8.68,36.4,35.44,,13.17,1.22,0.16,0.11,1.62,33.23,36.75,39.84,41.44,-10.72,-1.25,,,,39.51
NATCO Pharma Ltd.,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,15871.62,13.595531,1.6900618,-56.99999999999999,26.43,-24.76,25.63,-44.7,16.26,,12.81,1.25,0.3,0.08,3.01,41.62,870.25,920.83,946.05,-0.87,1.77,,,,96.79
NBCC (India) Ltd.,NBCC,Construction,Engineering & Construction,23876.1,32.273724,7.948764,16.3,39.34,33.06,39.24,-5.8999999999999995,34.34,,4.42,0.61,-3.01,0.01,1.18,7.45,88.43,97.59,99.65,-14.1,41.58,,,,117.36
NCC Ltd.,NCC,Construction,Engineering & Construction,9291.5,13.4658785,1.1807839,12.7,3.27,-17.63,3.49,12.2,15.25,,2.6,-0.68,1.62,0.57,1.36,2.82,147.99,143.6,150.89,-30.74,-0.17,,,,47.98
NMDC Steel Ltd.,NSLNISP,Metals & Mining,Steel,11734.15,143.0,0.8889679,111.1,,,,8.799999999999999,3.51,,0.21,30.58,2.87,0.35,0.53,1.16,40.04,43.27,42.18,3.33,-5.57,,,,26.9
Narayana Hrudayalaya Ltd.,NH,Healthcare,Medical Care Facilities,38127.93,46.364532,8.403313,5.4,9.94,1.95,9.94,80.4,11.39,,6.46,2.01,3.06,1.29,2.15,4.97,1877.4,1937.43,1854.94,1.82,22.7,,,,76.41
Nava Ltd.,NAVA,Power,Conglomerates,15809.83,20.541239,1.8053849,-10.0,-4.55,-27.93,-5.35,1.6,11.09,,5.47,2.94,0.07,0.21,7.59,180.92,557.9,581.39,579.07,-15.72,45.39,,,,33.8
Navin Fluorine International Ltd.,NAVINFLUOR,Chemicals,Chemicals,41801.82,52.816307,10.50675,100.89999999999999,20.03,129.94,20.93,44.1,18.66,,10.4,1.35,1.1,0.32,2.61,8.41,8148.5,7765.16,6670.23,63.0,22.23,,,,138.79
Netweb Technologies India Ltd.,NETWEB,Information Technology,Computer Hardware,31185.92,117.28371,41.191757,178.4,63.05,80.94,63.66,172.10000000000002,39.27,,9.13,0.83,-0.27,0.39,1.44,22.35,5246.1,4690.72,3815.65,126.03,80.94,,,,769.63
Neuland Laboratories Ltd.,NEULANDLAB,Healthcare,Drug Manufacturers - Specialty & Generic,29449.73,58.988,15.710941,962.8,30.56,39.94,30.56,119.19999999999999,22.87,,12.42,0.95,0.37,0.16,1.42,27.15,22954.0,19738.29,16154.73,66.71,83.27,,,,95.76
Newgen Software Technologies Ltd.,NEWGEN,Information Technology,Software - Infrastructure,7394.82,23.292522,4.154919,27.800000000000004,50.13,-4.65,19.3,11.200000000000001,20.7,,12.31,0.77,-0.15,2.21,3.66,87.73,523.15,516.77,583.75,-38.95,8.47,,,,142.78
Niva Bupa Health Insurance Company Ltd.,NIVABUPA,Financial Services,Insurance - Life,15307.96,78.094345,3.965129,,117.85,-38.75,118.44,80.0,,12.1350005,1.16,,,0.08,,3.28,82.78,85.62,79.1,-1.87,,,,,16.11
Nuvama Wealth Management Ltd.,NUVAMA,Financial Services,Asset Management,32171.28,29.976048,7.7372828,15.6,47.69,5.56,50.54,22.5,7.36,,3.02,-2.89,4.43,2.82,13.5,2.42,1752.1,1794.4,1482.58,27.9,,,,,80.19
Nuvoco Vistas Corporation Ltd.,NUVOCO,Construction Materials,Building Materials,11441.5,29.60721,1.1185718,19.8,183.85,1545.38,182.9,8.9,6.24,,1.77,4.13,2.65,0.48,0.45,2.43,320.35,331.33,331.22,-31.3,-3.89,,,,25.97
Ola Electric Mobility Ltd.,OLAELEC,Automobile and Auto Components,Auto Manufacturers,16349.12,,4.8703437,,,,,-45.0,-29.74,,-23.54,0.42,-2.98,0.82,1.14,-4.08,37.0,40.15,36.2,-21.59,,,,,445.96
Olectra Greentech Ltd.,OLECTRA,Automobile and Auto Components,Farm & Heavy Construction Machinery,10613.86,60.765976,8.651524,-0.3,57.74,27.8,39.34,65.7,20.97,,6.91,0.58,1.05,0.31,1.58,5.01,1293.1,1390.94,1219.14,-16.74,4.42,,,,93.78
Onesource Specialty Pharma Ltd.,ONESOURCE,Healthcare,Biotechnology,17583.94,,3.0220735,,,,,37.2,0.45,,-0.9,-0.12,4.75,0.26,0.99,0.25,1533.4,1613.1,1595.82,-16.71,,,,,47.3
PCBL Chemical Ltd.,PCBL,Chemicals,Specialty Chemicals,12563.26,48.305595,3.1450071,58.9,-24.02,-54.47,-23.49,17.0,8.87,,1.75,7.97,4.5,1.24,0.83,1.62,319.3,316.25,295.51,-14.24,30.06,,,,62.25
PG Electroplast Ltd.,PGEL,Consumer Durables,Electronic Components,17103.85,83.37989,5.5956507,13.700000000000001,26.95,-31.7,36.38,35.3,10.55,,3.31,0.34,1.28,0.2,1.46,3.48,597.0,588.3,556.96,5.95,54.78,,,,169.85
PNB Housing Finance Ltd.,PNBHOUSING,Financial Services,Mortgage Finance,30403.03,13.151843,1.58167,4.3,18.2,18.34,29.86,5.800000000000001,,,2.45,-3.92,,2.88,,,1166.7,1083.57,953.57,46.2,24.19,,,,115.6
PTC Industries Ltd.,PTCIL,Capital Goods,Metal Fabrication,32031.58,240.43439,21.253843,465.7,51.33,66.44,57.85,97.39999999999999,8.0,,5.19,-0.68,1.32,0.17,3.44,15.69,21351.0,18245.2,17612.31,59.73,64.43,,,,36.34
PVR INOX Ltd.,PVRINOX,Media Entertainment & Publication,Entertainment,12091.36,43.24904,1.6406025,,,,,10.4,7.06,,2.14,6.47,2.81,0.92,0.47,1.32,1231.3,1065.47,1029.87,9.69,-8.55,,,,38.38
Paradeep Phosphates Ltd.,PARADEEP,Chemicals,Agricultural Inputs,16324.5,15.143545,2.4040315,20.8,34.97,50.48,48.5,63.1,23.11,,5.56,-1.02,2.9,1.02,1.15,3.52,157.19,142.92,136.31,-28.59,34.56,,,,101.83
Pfizer Ltd.,PFIZER,Healthcare,Drug Manufacturers - General,21897.61,30.358345,5.2101207,6.6000000000000005,5.01,-5.88,5.01,8.3,22.94,,14.68,1.34,-0.03,1.67,6.06,103.92,4786.6,4662.76,4731.85,-14.37,8.66,,,,14.58
Physicswallah Ltd.,PWL,Consumer Services,Education & Training Services,35193.72,1733.1428,7.730343,,,,,23.9,1.92,,-0.29,-37.05,1.26,0.23,2.9,1.1,121.32,128.57,,,,,,,216.68
Pine Labs Ltd.,PINELABS,Financial Services,Software - Infrastructure,18604.81,146.58182,3.122144,264.40000000000003,,,,19.6,3.62,,0.85,3.51,-1.94,0.07,1.52,2.63,161.24,154.15,,,,,,,183.37
Piramal Finance Ltd.,PIRAMALFIN,Financial Services,Credit Services,48907.47,29.015821,1.7379404,50575.0,,209.88,,30.4,1.56,,1.36,-10.56,32.35,2.86,1.81,24.32,2164.0,2110.83,1840.73,,,,,,72.7
Piramal Pharma Ltd.,PPLPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,27494.13,,3.3737643,,,,,17.4,1.23,,-1.81,-5.07,4.5,0.7,1.51,0.48,207.5,185.87,170.81,8.04,26.27,,,,85.27
Poly Medicure Ltd.,POLYMED,Healthcare,Medical Instruments & Supplies,17547.7,55.06361,5.64943,-7.5,19.36,-2.15,22.71,30.3,13.33,,8.45,0.74,0.54,0.11,3.37,24.37,1731.2,1695.2,1594.79,-16.24,6.13,,,,32.81
Poonawalla Fincorp Ltd.,POONAWALLA,Financial Services,Credit Services,41498.57,51.166306,3.6994236,337.0,-8.35,,-7.47,100.29999999999998,1.83,,0.9,-40.21,56.65,4.68,1.17,23.49,473.8,465.92,442.46,1.78,3.02,,,,93.11
Prime Focus Ltd.,PFOCUS,Media Entertainment & Publication,Entertainment,23620.21,186.07361,11.282642,,-14.98,,14.09,23.799999999999997,24.91,,2.05,4.68,3.34,2.25,0.7,1.65,303.3,266.07,254.56,87.89,41.61,,,,79.77
R R Kabel Ltd.,RRKABEL,Capital Goods,Electrical Equipment & Parts,31946.65,53.484188,12.409385,128.5,37.25,57.96,37.36,53.900000000000006,26.51,,10.65,0.6,0.31,0.13,1.65,10.87,2824.5,2522.25,1793.98,133.57,,,,,77.09
RBL Bank Ltd.,RBLBANK,Financial Services,Banks - Regional,59725.66,32.135113,1.4219811,367.9,-2.64,22.59,-1.49,40.8,,,0.49,8.62,,1.06,,,385.3,373.91,330.57,53.15,22.07,,,,232.18
RHI MAGNESITA INDIA LTD.,RHIM,Capital Goods,Metal Fabrication,7647.78,,2.1479652,121.6,,,,5.6000000000000005,-7.21,,-7.88,-1.07,-3.6,0.13,2.75,-7.64,370.35,392.52,414.81,-25.14,-18.38,,,,35.1
RITES Ltd.,RITES,Construction,Engineering & Construction,10459.86,24.844748,3.9073608,8.4,-8.86,6.62,-8.86,8.7,18.73,,6.92,0.8,-0.13,0.24,1.67,203.59,217.64,218.21,217.31,-12.22,1.28,,,,41.57
Railtel Corporation Of India Ltd.,RAILTEL,Telecommunication,Telecom Services,8957.39,26.379963,3.9606068,25.2,22.49,15.51,22.53,27.6,18.72,16.253999999999998,5.09,0.91,-0.5,2.82,1.32,51.6,279.1,297.17,315.86,-20.43,18.59,,,,59.83
Rainbow Childrens Medicare Ltd.,RAINBOW,Healthcare,Medical Care Facilities,14698.1,51.577076,8.92327,13.3,9.47,14.34,9.7,33.2,16.84,,10.03,1.51,1.46,0.54,3.55,5.62,1448.8,1472.18,1318.5,-8.09,11.01,,,,20.19
Ramkrishna Forgings Ltd.,RKFORGE,Automobile and Auto Components,Metal Fabrication,13139.28,124.175255,3.9761662,289.2,-36.5,-82.7,-33.85,19.8,4.68,,1.0,11.7,4.02,0.74,1.15,1.55,722.7,628.77,562.81,25.49,8.94,,,,42.55
Redington Ltd.,REDINGTON,Services,Information Technology Services,27784.26,15.677106,2.734477,76.7,2.29,-7.14,2.28,34.599999999999994,18.77,,4.4,0.16,0.77,0.27,1.41,6.07,355.4,299.82,258.46,49.28,34.81,,,,176.51
Reliance Power Ltd.,RPOWER,Power,Utilities - Independent Power Producers,9355.11,,0.5832603,47.199999999999996,,,,3.8,4.48,,-0.82,-8.38,5.95,0.92,0.46,0.91,22.62,24.33,28.47,-53.75,6.64,,,,129.28
